PC,FA,SC,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,7day,28day,56day
164,109,274,0,1309,1815,217,5.0,0.0,30.0,0.0,547,0.396709324,0.175096031,0.700182815,0.580985915,0.419014085,36.44820855,47.21111967,
165,165,220,0,1360,1975,192,14.0,0.0,65.0,0.0,550,0.349090909,0.164917541,0.7,0.592203898,0.407796102,,55.4338704,
180,0,420,0,1159,1970,242,0.9,0.0,30.0,0.0,600,0.403333333,0.191754554,0.7,0.62959412,0.37040588,31.66643359,50.676486,51.33723383
180,0,420,0,1209,1710,242,5.0,109.0,20.0,0.0,600,0.403333333,0.205549846,0.7,0.585817061,0.414182939,35.74267776,51.27760693,57.46353268
180,0,420,0,1285,1740,225,3.0,0.0,40.0,0.0,600,0.375,0.198347107,0.7,0.575206612,0.424793388,36.6801232,50.49262573,
180,0,420,0,1285,1740,234,2.0,0.0,37.0,0.0,600,0.39,0.198347107,0.7,0.575206612,0.424793388,43.954095,51.5728048,
180,0,420,0,1285,1740,234,3.0,0.0,40.0,0.0,600,0.39,0.198347107,0.7,0.575206612,0.424793388,40.38318388,57.95811864,
180,0,420,0,1285,1740,238,1.5,0.0,40.0,0.0,600,0.396666667,0.198347107,0.7,0.575206612,0.424793388,37.28608939,46.39487921,52.915628955
180,0,420,0,1285,1740,239,0.0,0.0,0.0,0.0,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,44.18392033,54.7443944,
180,0,420,0,1285,1740,239,1.8,0.0,40.0,0.0,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,43.02521761,57.66572975,
180,0,420,0,1285,1740,239,2.3,0.0,48.0,0.0,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,38.834735699999996,63.86558732,
180,0,420,0,1285,1740,239,2.5,0.0,40.0,0.0,600,0.398333333,0.198347107,0.7,0.575206612,0.424793388,39.739151545,56.57568715,57.55975473
180,0,420,0,1300,1700,270,1.5,0.0,20.0,0.0,600,0.45,0.2,0.7,0.566666667,0.433333333,24.40236567,41.65559186,46.26413105
180,0,420,0,1401,1747,198,4.0,0.0,12.0,0.0,600,0.33,0.190597205,0.7,0.554955527,0.445044473,,58.78548984,
180,0,455,0,1340,1750,238,2.5,0.0,33.0,0.0,635,0.37480315,0.205501618,0.716535433,0.566343042,0.433656958,34.10751588,49.10505528,59.122567
180,0,455,0,1340,1750,257,1.5,5.0,8.0,0.0,635,0.404724409,0.205501618,0.716535433,0.566343042,0.433656958,36.79157275,52.11576715,57.32679542
180,120,300,0,1200,1830,232,4.0,0.0,45.0,0.0,600,0.386666667,0.198019802,0.7,0.603960396,0.396039604,35.3011712,45.68927627,51.2625406
180,120,300,0,1200,1830,239,8.0,0.0,18.0,0.0,600,0.398333333,0.198019802,0.7,0.603960396,0.396039604,32.97665211,49.85568124,55.1063693
180,120,300,0,1210,1830,228,6.0,0.0,33.0,0.0,600,0.38,0.197368421,0.7,0.601973684,0.398026316,33.41775259,46.20904715,52.83621397
180,120,300,0,1250,1740,234,5.0,0.0,39.0,0.0,600,0.39,0.200668896,0.7,0.581939799,0.418060201,27.11070976,45.51231076,48.91612724
180,120,300,0,1250,1740,234,9.0,0.0,39.0,0.0,600,0.39,0.200668896,0.7,0.581939799,0.418060201,29.8026001,45.35890235,51.10688617
180,120,300,0,1250,1740,238,5.0,0.0,18.0,0.0,600,0.396666667,0.200668896,0.7,0.581939799,0.418060201,27.59085959,52.21631573,52.82648316
180,120,300,0,1250,1740,238,5.0,0.0,39.0,0.0,600,0.396666667,0.200668896,0.7,0.581939799,0.418060201,24.84905001,,49.30795844
180,120,300,0,1250,1740,270,6.0,0.0,22.0,0.0,600,0.45,0.200668896,0.7,0.581939799,0.418060201,24.84064947,46.59478808,48.03677789
180,120,300,0,1250,1750,239,4.0,45.0,39.0,0.0,600,0.398333333,0.2,0.7,0.583333333,0.416666667,32.43639842,44.135657015,48.67355822
180,120,300,0,1250,1830,239,4.0,45.0,39.0,0.0,600,0.398333333,0.194805195,0.7,0.594155844,0.405844156,31.74982547666667,46.152757353333335,50.22258096666667
180,120,300,0,1250,1830,240,11.0,0.0,18.0,0.0,600,0.4,0.194805195,0.7,0.594155844,0.405844156,31.28027253,44.46075539,49.01234165
180,120,300,0,1265,1765,238,4.0,0.0,37.0,0.0,600,0.396666667,0.198019802,0.7,0.582508251,0.417491749,25.567424565000003,,45.34227435
180,120,300,0,1280,1830,214,9.0,0.0,18.0,0.0,600,0.356666667,0.192926045,0.7,0.588424437,0.411575563,30.20479443,42.74176637,45.63431803
180,120,300,0,1280,1830,238,5.0,0.0,18.0,0.0,600,0.396666667,0.192926045,0.7,0.588424437,0.411575563,31.199084315,49.13700181,56.045062145
180,180,240,0,1116,1450,242,1.5,0.0,30.0,0.0,600,0.403333333,0.233826968,0.7,0.565081839,0.434918161,24.9590312,43.30196562,53.4688638
180,180,240,0,1116,1970,184,0.4,5.0,0.0,0.0,600,0.306666667,0.194426442,0.7,0.638366818,0.361633182,28.7166754,52.227807,57.4678246
180,180,240,0,1116,1970,242,0.9,0.0,30.0,0.0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,31.3603474,48.54973982,52.27353755
180,180,240,0,1116,1970,242,0.9,30.0,0.0,0.0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,28.87749769,45.44050693,48.1948284
180,180,240,0,1116,1970,242,1.5,30.0,0.0,0.0,600,0.403333333,0.194426442,0.7,0.638366818,0.361633182,27.586441726666667,44.977857166666666,51.87583643
180,180,240,0,1270,1825,209,15.0,0.0,46.0,0.0,600,0.348333333,0.193861066,0.7,0.589660743,0.410339257,30.67019073,47.66577413,
180,180,240,0,1270,1825,210,15.0,0.0,46.0,0.0,600,0.35,0.193861066,0.7,0.589660743,0.410339257,32.6219472,50.51087549,60.36787947
180,180,240,0,1270,1928,200,15.0,0.0,18.0,0.0,600,0.333333333,0.187617261,0.7,0.602876798,0.397123202,37.7832848,56.89777569,58.03549317
