PC,PC_TYPE,FA,SS,SF,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,FIBER,LATEX,SLUMP,VOID,Category,TOTAL_BINDER,w/b,b/a,SCM%,CAGG%,FAGG%,GWP,7day,28day,56day
50,2,0,250,0,2300,0,284,0,0,3,0,0,0,0,6,6,300,0.946666667,0.130434783,0.833333333,0,1,126.6179,,,7.239498
80,1,0,320,0,1157,2250,200,0.3,45,0,0,0,0,5,5.5,6,400,0.5,0.117405342,0.8,0.660405048,0.339594952,176.762711,22.69551813,34.54747858,37.58381461
90,2,0,360,0,1091,2060,260,5,15,0,0,0,0,4,5.5,6,450,0.577777778,0.142811806,0.8,0.653760711,0.346239289,197.203043,,30.67880918,33.77719149
100,1,0,400,0,1100,2155,250,5,40,0,0,0,0,5,5.5,1,500,0.5,0.153609831,0.8,0.662058372,0.337941628,218.457125,25.40744596,40.56735566,42.67772358
100,1,0,400,0,1250,2000,215,1,0,28,0,0,0,4,5,6,500,0.43,0.153846154,0.8,0.615384615,0.384615385,218.69625,,24.13166,
164,6,109,274,0,1309,1815,217,5,0,30,0,0,0,6,0,1,547,0.396709324,0.175096031,0.700182815,0.580985915,0.419014085,288.112782,36.44820855,47.21111967,
165,1,0,385,0,1350,1850,238,2,0,32,0,0,0,5,5.5,5,550,0.432727273,0.171875,0.7,0.578125,0.421875,282.9263,30.48633047,54.55346258,60.12857516
165,1,0,385,0,1350,1850,238,2,0,32,0,0,0,5,5.5,6,550,0.432727273,0.171875,0.7,0.578125,0.421875,282.9263,36.9042029,56.38534728,58.21475693
165,6,165,220,0,1360,1975,192,14,0,65,0,0,0,7,5.5,4,550,0.349090909,0.164917541,0.7,0.592203898,0.407796102,293.761405,,55.4338704,
170,2,210,0,0,1610,1775,250,0,5,8,0,0,0,8,2.5,6,380,0.657894737,0.11225997,0.552631579,0.52437223,0.47562777,256.191655,,7.3773932,9.0321356
180,2,0,420,0,1209,1710,242,5,109,20,0,0,0,6,7,6,600,0.403333333,0.205549846,0.7,0.585817061,0.414182939,307.114407,35.74267776,51.27760693,57.46353268
180,2,0,420,0,1300,1700,270,1.5,0,20,0,0,0,9,6,5,600,0.45,0.2,0.7,0.566666667,0.433333333,307.4204,24.40236567,41.65559186,46.26413105
180,2,0,420,0,1401,1747,198,4,0,12,0,0,0,9,6.5,4,600,0.33,0.190597205,0.7,0.554955527,0.445044473,307.871278,,58.78548984,
