PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,7day,28day,56day
164,109,274,1309,1815,217,5,0,30,0,36.44820855,47.21111967,
165,0,385,1350,1850,238,2,0,32,0,33.69526669,55.46940493,59.17166604
180,0,420,1159,1970,242,0.9,0,30,0,31.66643359,50.676486,51.33723383
180,0,420,1209,1710,242,5,109,20,0,35.74267776,51.27760693,57.46353268
180,0,420,1285,1740,225,3,0,40,0,36.6801232,50.49262573,
180,0,420,1285,1740,239,1.8,0,40,0,43.02521761,57.66572975,
180,0,420,1285,1740,239,2.5,0,40,0,39.73915155,56.57568715,57.55975473
180,0,420,1300,1700,270,1.5,0,20,0,24.40236567,41.65559186,46.26413105
180,0,455,1340,1750,238,2.5,0,33,0,34.10751588,49.10505528,59.122567
180,0,455,1340,1750,257,1.5,5,8,0,36.79157275,52.11576715,57.32679542
180,120,300,1200,1830,232,4,0,45,0,35.3011712,45.68927627,51.2625406
180,120,300,1200,1830,239,8,0,18,0,32.97665211,49.85568124,55.1063693
180,120,300,1210,1830,228,6,0,33,0,33.41775259,46.20904715,52.83621397
180,120,300,1250,1740,234,5,0,39,0,27.11070976,45.51231076,48.91612724
180,120,300,1250,1740,234,9,0,39,0,29.8026001,45.35890235,51.10688617
180,120,300,1250,1740,270,6,0,22,0,24.84064947,46.59478808,48.03677789
180,120,300,1250,1750,239,4,45,39,0,32.43639842,44.13565702,48.67355822
180,120,300,1250,1830,239,4,45,39,0,31.74982548,46.15275735,50.22258097
180,120,300,1250,1830,240,11,0,18,0,31.28027253,44.46075539,49.01234165
180,120,300,1280,1830,214,9,0,18,0,30.20479443,42.74176637,45.63431803
180,120,300,1280,1830,238,5,0,18,0,31.19908432,49.13700181,56.04506215
180,180,240,1116,1450,242,1.5,0,30,0,24.9590312,43.30196562,53.4688638
180,180,240,1116,1970,184,0.4,5,0,0,28.7166754,52.227807,57.4678246
180,180,240,1116,1970,242,0.9,0,30,0,31.3603474,48.54973982,52.27353755
180,180,240,1116,1970,242,0.9,30,0,0,28.87749769,45.44050693,48.1948284
180,180,240,1116,1970,242,1.5,30,0,0,27.58644173,44.97785717,51.87583643
180,180,240,1270,1825,209,15,0,46,0,30.67019073,47.66577413,
180,180,240,1270,1825,210,15,0,46,0,32.6219472,50.51087549,60.36787947
180,180,240,1270,1928,200,15,0,18,0,37.7832848,56.89777569,58.03549317
180,180,240,1290,1950,209,18,0,71,0,33.66075123,50.38441766,53.71275475
180,180,240,1290,2060,192,32,0,32,0,33.9759446,51.4588302,58.54721117
180,180,240,1320,1775,209,14,36,55,0,42.94181887,61.01235804,
185,0,440,1265,1960,235,5,0,75,0,43.79321727,56.49872778,
188,187,250,1265,1800,228,8.5,0,52,0,35.54109732,52.94959765,66.82470336
195,0,455,1145,1870,260,9.8,0,50,0,41.023822,52.56679937,
195,0,455,1230,1850,238,3.3,0,104,0,51.82011684,61.1541437,
195,0,455,1250,1850,242,3,0,35,3,35.852752,51.06144343,57.8297995
195,0,495,1250,1850,242,3,15,35,0,41.1789541,54.77312257,58.76921055
195,130,325,1190,1735,245,6,0,46,0,33.39966897,52.9862306,56.50589437
198,198,264,1345,1550,249,5,0,55,0,32.67409085,49.67036176,58.49354506
200,300,0,1430,1460,297,2.5,0,20,0,11.07170775,20.77829945,29.25509348
204,204,272,1015,1970,264,1.1,40.8,0,0,31.4401056,49.0906912,56.5715058
210,175,315,1280,1600,245,10,0,55,0,36.8524922,52.58403627,
