folder,experiment,strength_min,iters,timestamp,OGR,QER,MCE,best_gwp,ga_gwp,gwp_gap,feasibility_rate,convergence_iter,llm_catboost_calls,ga_catboost_calls,calls_ratio
run_s45_i30_20260423_205056,norag,45,30,20260423_205056,0.136,1.7581,0.5221,234.34,206.28,28.06,1,21,31,20000,0.0015
run_s50_i30_20260423_204225,norag,50,30,20260423_204225,0.1947,0.7323,1.0292,253.7,212.36,41.34,1,14,43,20000,0.0022
run_s55_i30_20260423_183925,norag,55,30,20260423_183925,0.344,0.9067,0.1806,345.4,257,88.4,1,6,72,20000,0.0036
run_s45_i30_no_knowledge_20260424_162646,no_knowledge,45,30,20260423_213319,0.2783,0.4253,0.3251,263.69,206.28,57.41,1,8,30,20000,0.0015
run_s50_i30_no_knowledge_20260423_213750,no_knowledge,50,30,20260423_213750,0.3331,0.035,1.2115,283.1,212.36,70.74,1,8,52,20000,0.0026
run_s55_i30_no_knowledge_20260424_195127,no_knowledge,55,30,20260423_214300,0.1248,1.689,0.3611,289.07,257,32.07,1,17,72,20000,0.0036
run_s45_i30_rag_20260423_220721,rag,45,30,20260423_220721,0.1293,1.6218,1.1015,232.95,206.28,26.67,1,25,34,20000,0.0017
run_s50_i30_rag_20260423_221251,rag,50,30,20260423_221251,0.1194,1.475,0.6727,237.72,212.36,25.36,1,21,32,20000,0.0016
run_s55_i30_rag_20260423_221723,rag,55,30,20260423_221723,0.1481,1.3648,1.1175,295.06,257,38.06,1,6,79,20000,0.004
run_s45_i30_ragtext_20260424_082052,ragtext,45,30,20260424_082052,0.1281,1.0057,0.3921,232.7,206.28,26.42,1,13,42,20000,0.0021
run_s50_i30_ragtext_20260424_082501,ragtext,50,30,20260424_082501,0.0833,1.6135,0.8253,230.06,212.36,17.7,1,17,34,20000,0.0017
run_s55_i30_ragtext_20260424_082935,ragtext,55,30,20260424_082935,0.062,1.1002,0.9254,272.93,257,15.93,1,5,49,20000,0.0024
run_s45_i30_zero_shot_20260423_224231,zero_shot,45,30,20260423_224231,0.1435,6.2825,1.195,235.88,206.28,29.6,1,20,44,20000,0.0022
run_s50_i30_zero_shot_20260423_224736,zero_shot,50,30,20260423_224736,0.2499,4.6007,0.5071,265.43,212.36,53.07,1,30,41,20000,0.0021
run_s55_i30_zero_shot_20260423_225233,zero_shot,55,30,20260423_225233,0.5205,2.6133,0.3479,390.77,257,133.77,1,7,45,20000,0.0022
