Model,Age,R2
RF,7day,0.6528574508801839
RF,28day,0.6933502466494399
RF,56day,0.4457241208729108
XGBoost,7day,0.6411898713417223
XGBoost,28day,0.6974074791151669
XGBoost,56day,0.4614639022611221
CatBoost,7day,0.6816410736998859
CatBoost,28day,0.6249804258501379
CatBoost,56day,0.5217068860476564
MLP,7day,0.4419371054775949
MLP,28day,0.5654036542847591
MLP,56day,0.395214959084761
CatBoost-Chain,7day,0.9239243213434553
CatBoost-Chain,28day,0.9600404171651742
CatBoost-Chain,56day,0.8329290261857033
RF,7day,0.38957000634263506
RF,28day,0.515901286625587
RF,56day,0.5530465505805702
XGBoost,7day,0.39576138084566115
XGBoost,28day,0.4769198032889067
XGBoost,56day,0.5737901049219258
CatBoost,7day,0.41291314416707336
CatBoost,28day,0.568424468003893
CatBoost,56day,0.49548620204767824
MLP,7day,0.04954646827827913
MLP,28day,0.35009173992466536
MLP,56day,0.03847962562731333
CatBoost-Chain,7day,0.8861947452101016
CatBoost-Chain,28day,0.923140027744177
CatBoost-Chain,56day,0.8465652940934083
RF,7day,0.48335454792369537
RF,28day,0.5392730103265649
RF,56day,0.6424805725757404
XGBoost,7day,0.49063373501270835
XGBoost,28day,0.5409926171219571
XGBoost,56day,0.6352799191563668
CatBoost,7day,0.5501696455508043
CatBoost,28day,0.5722601854544485
CatBoost,56day,0.6950032267952585
MLP,7day,0.3559164014366616
MLP,28day,0.5377871699210418
MLP,56day,0.03254845615207491
CatBoost-Chain,7day,0.8574579461703876
CatBoost-Chain,28day,0.9087632871455071
CatBoost-Chain,56day,0.870483809166295
