Model,Age,mean,std
CatBoost,28day,0.7261177739393414,0.04136670437001731
CatBoost,56day,0.731553936866295,0.012918997911264347
CatBoost,7day,0.729430314162062,0.05427639991686594
MLP,28day,0.5735640914322538,0.05202209359968985
MLP,56day,0.35900123316474924,0.06928045659267809
MLP,7day,0.5820068010469996,0.03126177607374525
RF,28day,0.694221188900086,0.03014640765954832
RF,56day,0.6852352614936535,0.037160676336357085
RF,7day,0.6954236343032408,0.007721560044423715
XGBoost,28day,0.6686952688032792,0.0220446383166578
XGBoost,56day,0.692658602478057,0.03486919073419569
XGBoost,7day,0.7007878682859893,0.01573897920288898
