Model,Age,mean,std
CatBoost,7,0.5459473536711135,0.11967339800365095
CatBoost,28,0.5893221998382016,0.06286067716236782
CatBoost,56,0.5920721268221696,0.09847365903034472
CatBoost-Chain,7,0.5459473536711135,0.11967339800365095
CatBoost-Chain,28,0.8686943919062403,0.016543351382672183
CatBoost-Chain,56,0.8900944374187949,0.04551457618545485
MLP,7,0.45758176235974624,0.013614529929930588
MLP,28,0.4062687474602062,0.11656437094533144
MLP,56,0.36559005102397907,0.19601397971029993
RF,7,0.5308520819950198,0.1303561321877299
RF,28,0.5870228798007523,0.07828419330984658
RF,56,0.5707649426944083,0.08330862583884927
XGBoost,7,0.5196923691220076,0.09069496330419824
XGBoost,28,0.6028906429398595,0.09533335587282216
XGBoost,56,0.5870552822841852,0.11666297723192774
