iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,165.0,0.0,385.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.43273,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,33.74,51.57,56.95,284.92,65.7,6.57,True
2,exploit,164.0,0.0,405.0,1350.0,1850.0,228.0,2.0,0.0,52.0,0.0,0.4007,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,40.97,55.51,59.57,289.15,69.93,10.51,True
3,exploit,164.0,0.0,425.0,1350.0,1850.0,218.0,2.0,0.0,72.0,0.0,0.37012,0.18406,0.72156,0.57812,0.42188,0.27844,0.0,0.72156,589.0,40.85,55.46,59.42,294.43,75.21,10.46,True
4,exploit,164.0,0.0,405.0,1350.0,1850.0,198.0,2.0,0.0,112.0,0.0,0.34798,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,42.96,56.21,59.34,289.15,69.93,11.21,True
5,exploit,164.0,0.0,405.0,1350.0,1850.0,183.0,2.0,0.0,142.0,0.0,0.32162,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,43.14,57.2,60.58,289.15,69.93,12.2,True
6,exploit,164.0,0.0,385.0,1350.0,1850.0,168.0,2.0,0.0,182.0,0.0,0.30601,0.17156,0.70128,0.57812,0.42188,0.29872,0.0,0.70128,549.0,42.76,56.99,60.6,283.87,64.65,11.99,True
7,exploit,164.0,0.0,365.0,1350.0,1850.0,153.0,2.0,0.0,211.0,0.0,0.28922,0.16531,0.68998,0.57812,0.42188,0.31002,0.0,0.68998,529.0,41.88,57.67,61.33,278.59,59.37,12.67,True
8,exploit,164.0,0.0,345.0,1350.0,1850.0,153.0,2.0,0.0,211.0,0.0,0.30059,0.15906,0.6778,0.57812,0.42188,0.3222,0.0,0.6778,509.0,41.12,57.72,60.82,273.31,54.09,12.72,True
9,exploit,164.0,0.0,325.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.31288,0.15281,0.66462,0.57812,0.42188,0.33538,0.0,0.66462,489.0,40.92,57.02,60.2,268.03,48.81,12.02,True
10,exploit,164.0,0.0,305.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.32623,0.14656,0.65032,0.57812,0.42188,0.34968,0.0,0.65032,469.0,40.45,56.13,59.25,262.75,43.53,11.13,True
11,exploit,164.0,0.0,285.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.34076,0.14031,0.63474,0.57812,0.42188,0.36526,0.0,0.63474,449.0,40.09,55.95,59.1,257.47,38.25,10.95,True
12,exploit,164.0,0.0,265.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.35664,0.13406,0.61772,0.57812,0.42188,0.38228,0.0,0.61772,429.0,39.85,55.36,58.15,252.19,32.97,10.36,True
13,exploit,164.0,0.0,245.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.37408,0.12781,0.59902,0.57812,0.42188,0.40098,0.0,0.59902,409.0,39.06,54.42,58.11,246.91,27.69,9.42,True
14,exploit,164.0,0.0,225.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.39332,0.12156,0.57841,0.57812,0.42188,0.42159,0.0,0.57841,389.0,38.19,54.11,57.7,241.63,22.41,9.11,True
15,exploit,164.0,0.0,205.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.41463,0.11531,0.55556,0.57812,0.42188,0.44444,0.0,0.55556,369.0,37.38,52.72,57.85,236.35,17.13,7.72,True
16,exploit,164.0,0.0,185.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.4384,0.10906,0.53009,0.57812,0.42188,0.46991,0.0,0.53009,349.0,35.44,51.4,56.5,231.07,11.85,6.4,True
17,exploit,164.0,0.0,165.0,1350.0,1850.0,153.0,2.0,0.0,211.0,100.0,0.46505,0.10281,0.50152,0.57812,0.42188,0.49848,0.0,0.50152,329.0,34.63,49.84,55.04,225.79,6.57,4.84,True
18,exploit,164.0,0.0,215.0,1500.0,2000.0,153.0,2.0,0.0,211.0,100.0,0.40369,0.10829,0.56728,0.57143,0.42857,0.43272,0.0,0.56728,379.0,35.93,51.17,55.59,239.93,20.71,6.17,True
19,exploit,164.0,0.0,235.0,1500.0,2000.0,153.0,2.0,0.0,211.0,100.0,0.38346,0.114,0.58897,0.57143,0.42857,0.41103,0.0,0.58897,399.0,36.85,52.18,57.05,245.21,25.99,7.18,True
20,exploit,184.0,0.0,215.0,1500.0,2000.0,153.0,2.0,0.0,211.0,200.0,0.38346,0.114,0.53885,0.57143,0.42857,0.46115,0.0,0.53885,399.0,37.11,52.0,57.17,260.89,41.67,7.0,True
21,exploit,204.0,0.0,195.0,1500.0,2000.0,153.0,2.0,0.0,211.0,300.0,0.38346,0.114,0.48872,0.57143,0.42857,0.51128,0.0,0.48872,399.0,36.18,51.32,56.25,276.57,57.35,6.32,True
22,RESTART#1,164.0,0.0,300.0,1350.0,1850.0,153.0,2.0,0.0,32.0,0.0,0.32974,0.145,0.64655,0.57812,0.42188,0.35345,0.0,0.64655,464.0,34.14,51.49,56.97,261.43,42.21,6.49,True
23,exploit,164.0,0.0,315.0,1350.0,1850.0,153.0,2.0,0.0,62.0,0.0,0.31942,0.14969,0.65762,0.57812,0.42188,0.34238,0.0,0.65762,479.0,37.66,54.78,59.85,265.39,46.17,9.78,True
24,exploit,164.0,0.0,295.0,1350.0,1850.0,153.0,2.0,0.0,112.0,50.0,0.33333,0.14344,0.6427,0.57812,0.42188,0.3573,0.0,0.6427,459.0,40.22,56.72,59.26,260.11,40.89,11.72,True
25,exploit,164.0,0.0,275.0,1350.0,1850.0,153.0,2.0,0.0,162.0,100.0,0.34852,0.13719,0.62642,0.57812,0.42188,0.37358,0.0,0.62642,439.0,39.86,55.7,58.38,254.83,35.61,10.7,True
26,exploit,164.0,0.0,255.0,1350.0,1850.0,153.0,2.0,0.0,162.0,200.0,0.36516,0.13094,0.60859,0.57812,0.42188,0.39141,0.0,0.60859,419.0,40.87,55.47,58.86,249.55,30.33,10.47,True
27,exploit,164.0,0.0,235.0,1350.0,1850.0,153.0,2.0,0.0,162.0,300.0,0.38346,0.12469,0.58897,0.57812,0.42188,0.41103,0.0,0.58897,399.0,39.86,55.33,58.66,244.27,25.05,10.33,True
28,exploit,164.0,0.0,215.0,1350.0,1850.0,153.0,2.0,0.0,162.0,400.0,0.40369,0.11844,0.56728,0.57812,0.42188,0.43272,0.0,0.56728,379.0,38.98,53.96,57.94,238.99,19.77,8.96,True
29,exploit,164.0,0.0,195.0,1350.0,1850.0,153.0,2.0,0.0,162.0,500.0,0.42618,0.11219,0.54318,0.57812,0.42188,0.45682,0.0,0.54318,359.0,37.26,52.44,57.82,233.71,14.49,7.44,True
30,exploit,164.0,0.0,210.0,1350.0,1850.0,153.0,2.0,0.0,162.0,500.0,0.40909,0.11688,0.5615,0.57812,0.42188,0.4385,0.0,0.5615,374.0,38.13,52.84,57.93,237.67,18.45,7.84,True
