iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,165.0,0.0,385.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.43273,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,33.74,51.57,56.95,284.92,72.56,1.57,True
2,exploit,165.0,0.0,385.0,1350.0,1850.0,210.0,2.0,0.0,82.0,0.0,0.38182,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,40.27,57.16,59.83,284.92,72.56,7.16,True
3,exploit,164.0,0.0,405.0,1350.0,1850.0,210.0,2.0,0.0,82.0,0.0,0.36907,0.17781,0.71178,0.57812,0.42188,0.28822,0.0,0.71178,569.0,41.03,55.19,58.91,289.15,76.79,5.19,True
4,exploit,164.0,0.0,385.0,1350.0,1850.0,210.0,2.0,0.0,82.0,200.0,0.38251,0.17156,0.70128,0.57812,0.42188,0.29872,0.0,0.70128,549.0,40.77,54.27,57.59,283.87,71.51,4.27,True
5,exploit,164.0,0.0,385.0,1350.0,1850.0,210.0,2.0,0.0,82.0,300.0,0.38251,0.17156,0.70128,0.57812,0.42188,0.29872,0.0,0.70128,549.0,40.79,54.3,57.62,283.87,71.51,4.3,True
6,exploit,164.0,0.0,385.0,1450.0,1950.0,180.0,2.0,0.0,132.0,300.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.0,0.70128,549.0,40.73,55.22,58.52,284.5,72.14,5.22,True
7,exploit,164.0,30.0,385.0,1450.0,1950.0,180.0,2.0,0.0,140.0,300.0,0.31088,0.17029,0.71675,0.57353,0.42647,0.28325,0.05181,0.66494,579.0,40.63,57.0,59.72,294.34,81.98,7.0,True
8,exploit,164.0,30.0,375.0,1450.0,1950.0,180.0,2.0,0.0,140.0,500.0,0.31634,0.16735,0.71178,0.57353,0.42647,0.28822,0.05272,0.65905,569.0,41.41,56.47,58.97,291.7,79.34,6.47,True
9,exploit,164.0,30.0,355.0,1450.0,1950.0,180.0,2.0,0.0,140.0,650.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.05464,0.64663,549.0,41.01,55.32,58.45,286.42,74.06,5.32,True
10,exploit,164.0,50.0,335.0,1450.0,1950.0,180.0,2.0,0.0,140.0,750.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.09107,0.6102,549.0,40.84,55.42,58.64,287.7,75.34,5.42,True
11,exploit,164.0,70.0,315.0,1450.0,1950.0,180.0,2.0,0.0,140.0,768.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.1275,0.57377,549.0,40.53,55.22,58.62,288.98,76.62,5.22,True
12,exploit,164.0,90.0,295.0,1450.0,1950.0,180.0,2.0,0.0,140.0,768.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.16393,0.53734,549.0,40.93,55.31,58.73,290.26,77.9,5.31,True
13,exploit,164.0,110.0,275.0,1450.0,1950.0,180.0,2.0,0.0,140.0,768.0,0.32787,0.16147,0.70128,0.57353,0.42647,0.29872,0.20036,0.50091,549.0,40.55,55.57,58.76,291.54,79.18,5.57,True
