iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,430.0,0.0,200.0,850.0,1800.0,190.0,5.0,10.0,5.0,0.0,0.30159,0.23774,0.31746,0.67925,0.32075,0.68254,0.0,0.31746,630.0,32.47,45.89,49.2,512.31,306.03,0.89,True
2,exploit,400.0,0.0,230.0,850.0,1800.0,170.0,5.0,10.0,70.0,0.0,0.26984,0.23774,0.36508,0.67925,0.32075,0.63492,0.0,0.36508,630.0,38.82,53.84,58.75,488.79,282.51,8.84,True
3,exploit,370.0,0.0,260.0,850.0,1800.0,155.0,5.0,10.0,100.0,0.0,0.24603,0.23774,0.4127,0.67925,0.32075,0.5873,0.0,0.4127,630.0,37.61,55.03,59.27,465.27,258.99,10.03,True
4,exploit,340.0,0.0,290.0,850.0,1800.0,153.0,5.0,10.0,130.0,0.0,0.24286,0.23774,0.46032,0.67925,0.32075,0.53968,0.0,0.46032,630.0,38.82,56.6,59.56,441.75,235.47,11.6,True
5,exploit,310.0,0.0,320.0,850.0,1800.0,153.0,5.0,10.0,160.0,0.0,0.24286,0.23774,0.50794,0.67925,0.32075,0.49206,0.0,0.50794,630.0,39.69,58.47,61.32,418.23,211.95,13.47,True
6,exploit,280.0,0.0,350.0,850.0,1800.0,153.0,5.0,10.0,160.0,300.0,0.24286,0.23774,0.55556,0.67925,0.32075,0.44444,0.0,0.55556,630.0,39.99,57.9,60.74,394.71,188.43,12.9,True
7,exploit,250.0,0.0,380.0,850.0,1800.0,153.0,5.0,10.0,160.0,500.0,0.24286,0.23774,0.60317,0.67925,0.32075,0.39683,0.0,0.60317,630.0,41.5,59.03,61.25,371.19,164.91,14.03,True
8,exploit,220.0,0.0,410.0,850.0,1800.0,153.0,5.0,10.0,160.0,700.0,0.24286,0.23774,0.65079,0.67925,0.32075,0.34921,0.0,0.65079,630.0,42.57,59.59,62.28,347.67,141.39,14.59,True
9,exploit,190.0,0.0,440.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.24286,0.23774,0.69841,0.67925,0.32075,0.30159,0.0,0.69841,630.0,43.28,60.25,62.48,324.15,117.87,15.25,True
10,exploit,190.0,20.0,420.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.24286,0.23774,0.69841,0.67925,0.32075,0.30159,0.03175,0.66667,630.0,43.26,60.29,62.46,325.43,119.15,15.29,True
11,exploit,190.0,0.0,420.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.25082,0.23019,0.68852,0.67925,0.32075,0.31148,0.0,0.68852,610.0,42.68,58.88,61.07,318.87,112.59,13.88,True
12,exploit,164.0,20.0,400.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.26199,0.22038,0.71918,0.67925,0.32075,0.28082,0.03425,0.68493,584.0,42.34,57.7,60.83,292.9,86.62,12.7,True
13,exploit,164.0,40.0,380.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.26199,0.22038,0.71918,0.67925,0.32075,0.28082,0.06849,0.65068,584.0,42.01,57.11,60.36,294.18,87.9,12.11,True
14,exploit,204.0,20.0,360.0,850.0,1800.0,153.0,5.0,10.0,160.0,768.0,0.26199,0.22038,0.65068,0.67925,0.32075,0.34932,0.03425,0.61644,584.0,41.56,57.89,60.57,324.26,117.98,12.89,True
15,exploit,164.0,0.0,320.0,950.0,1900.0,153.0,5.0,10.0,160.0,768.0,0.31612,0.16982,0.66116,0.66667,0.33333,0.33884,0.0,0.66116,484.0,42.16,55.19,57.61,265.85,59.57,10.19,True
16,exploit,164.0,0.0,280.0,1050.0,2000.0,153.0,5.0,10.0,160.0,768.0,0.34459,0.14557,0.63063,0.65574,0.34426,0.36937,0.0,0.63063,444.0,40.09,53.61,56.61,255.92,49.64,8.61,True
17,exploit,184.0,0.0,260.0,1050.0,2000.0,153.0,5.0,10.0,160.0,768.0,0.34459,0.14557,0.58559,0.65574,0.34426,0.41441,0.0,0.58559,444.0,39.91,53.41,57.28,271.6,65.32,8.41,True
18,exploit,164.0,0.0,240.0,1150.0,2100.0,153.0,5.0,10.0,160.0,768.0,0.37871,0.12431,0.59406,0.64615,0.35385,0.40594,0.0,0.59406,404.0,39.99,53.76,57.04,245.99,39.71,8.76,True
19,exploit,164.0,0.0,200.0,1250.0,2200.0,153.0,5.0,10.0,160.0,768.0,0.42033,0.10551,0.54945,0.63768,0.36232,0.45055,0.0,0.54945,364.0,40.44,53.88,57.38,236.06,29.78,8.88,True
