iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,164.0,0.0,390.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.4296,0.17313,0.70397,0.57812,0.42188,0.29603,0.0,0.70397,554.0,34.62,50.33,55.64,285.19,72.83,0.33,True
2,exploit,164.0,0.0,410.0,1350.0,1850.0,228.0,2.0,0.0,62.0,0.0,0.39721,0.17938,0.71429,0.57812,0.42188,0.28571,0.0,0.71429,574.0,41.05,54.94,59.31,290.47,78.11,4.94,True
3,exploit,164.0,0.0,425.0,1350.0,1850.0,213.0,2.0,0.0,92.0,0.0,0.36163,0.18406,0.72156,0.57812,0.42188,0.27844,0.0,0.72156,589.0,42.05,55.25,58.89,294.43,82.07,5.25,True
4,exploit,164.0,0.0,410.0,1400.0,1900.0,213.0,2.0,0.0,92.0,200.0,0.37108,0.17394,0.71429,0.57576,0.42424,0.28571,0.0,0.71429,574.0,40.65,54.26,57.39,290.78,78.42,4.26,True
5,exploit,164.0,0.0,395.0,1450.0,1950.0,213.0,2.0,0.0,92.0,400.0,0.38104,0.16441,0.70662,0.57353,0.42647,0.29338,0.0,0.70662,559.0,39.77,53.84,57.19,287.14,74.78,3.84,True
6,exploit,164.0,0.0,380.0,1550.0,2050.0,213.0,2.0,0.0,92.0,600.0,0.39154,0.15111,0.69853,0.56944,0.43056,0.30147,0.0,0.69853,544.0,37.43,52.61,57.73,283.81,71.45,2.61,True
7,exploit,164.0,0.0,365.0,1600.0,2100.0,203.0,2.0,0.0,92.0,768.0,0.38374,0.14297,0.68998,0.56757,0.43243,0.31002,0.0,0.68998,529.0,37.13,52.45,57.97,280.16,67.8,2.45,True
8,exploit,164.0,0.0,350.0,1650.0,2150.0,188.0,2.0,0.0,122.0,768.0,0.36576,0.13526,0.68093,0.56579,0.43421,0.31907,0.0,0.68093,514.0,38.63,53.88,58.86,276.52,64.16,3.88,True
9,exploit,164.0,0.0,335.0,1700.0,2200.0,183.0,2.0,0.0,122.0,768.0,0.36673,0.12795,0.67134,0.5641,0.4359,0.32866,0.0,0.67134,499.0,39.68,54.62,58.78,272.87,60.51,4.62,True
10,exploit,164.0,0.0,320.0,1750.0,2250.0,178.0,2.0,0.0,122.0,768.0,0.36777,0.121,0.66116,0.5625,0.4375,0.33884,0.0,0.66116,484.0,39.35,53.86,56.03,269.23,56.87,3.86,True
11,exploit,164.0,0.0,305.0,1800.0,2300.0,173.0,2.0,0.0,122.0,768.0,0.36887,0.11439,0.65032,0.56098,0.43902,0.34968,0.0,0.65032,469.0,39.12,53.42,56.02,265.58,53.22,3.42,True
12,exploit,164.0,0.0,290.0,1800.0,2300.0,168.0,2.0,0.0,122.0,768.0,0.37004,0.11073,0.63877,0.56098,0.43902,0.36123,0.0,0.63877,454.0,38.76,53.04,55.42,261.62,49.26,3.04,True
13,exploit,164.0,0.0,275.0,1800.0,2300.0,163.0,2.0,0.0,122.0,768.0,0.3713,0.10707,0.62642,0.56098,0.43902,0.37358,0.0,0.62642,439.0,38.65,53.04,55.42,257.66,45.3,3.04,True
14,exploit,164.0,0.0,260.0,1800.0,2300.0,158.0,2.0,0.0,122.0,768.0,0.37264,0.10341,0.61321,0.56098,0.43902,0.38679,0.0,0.61321,424.0,38.86,53.16,56.47,253.7,41.34,3.16,True
