iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,165.0,0.0,385.0,1350.0,1850.0,238.0,2.0,0.0,32.0,0.0,0.43273,0.17188,0.7,0.57812,0.42188,0.3,0.0,0.7,550.0,33.74,51.57,56.95,284.92,72.56,1.57,True
2,exploit,164.0,0.0,415.0,1350.0,1850.0,228.0,2.0,0.0,52.0,0.0,0.39378,0.18094,0.71675,0.57812,0.42188,0.28325,0.0,0.71675,579.0,40.77,55.95,59.79,291.79,79.43,5.95,True
3,exploit,164.0,0.0,395.0,1350.0,1850.0,238.0,2.0,0.0,52.0,0.0,0.42576,0.17469,0.70662,0.57812,0.42188,0.29338,0.0,0.70662,559.0,38.71,54.02,58.73,286.51,74.15,4.02,True
4,exploit,164.0,20.0,375.0,1350.0,1850.0,233.0,2.0,0.0,52.0,0.0,0.41682,0.17469,0.70662,0.57812,0.42188,0.29338,0.03578,0.67084,559.0,39.01,54.24,59.48,287.79,75.43,4.24,True
5,exploit,164.0,20.0,355.0,1350.0,1850.0,218.0,2.0,0.0,70.0,100.0,0.40445,0.16844,0.69573,0.57812,0.42188,0.30427,0.03711,0.65863,539.0,39.11,55.21,58.75,282.51,70.15,5.21,True
6,exploit,164.0,20.0,335.0,1350.0,1850.0,218.0,2.0,0.0,70.0,200.0,0.42004,0.16219,0.68401,0.57812,0.42188,0.31599,0.03854,0.64547,519.0,38.06,53.91,58.82,277.23,64.87,3.91,True
7,exploit,164.0,20.0,315.0,1350.0,1850.0,218.0,2.0,0.0,70.0,300.0,0.43687,0.15594,0.67134,0.57812,0.42188,0.32866,0.04008,0.63126,499.0,36.84,53.07,57.89,271.95,59.59,3.07,True
8,exploit,164.0,20.0,295.0,1350.0,1850.0,218.0,2.0,0.0,70.0,400.0,0.45511,0.14969,0.65762,0.57812,0.42188,0.34238,0.04175,0.61587,479.0,36.43,52.5,57.85,266.67,54.31,2.5,True
9,exploit,164.0,20.0,275.0,1360.0,1860.0,208.0,2.0,0.0,90.0,400.0,0.45316,0.14255,0.6427,0.57764,0.42236,0.3573,0.04357,0.59913,459.0,36.55,52.94,57.17,261.45,49.09,2.94,True
10,exploit,164.0,20.0,255.0,1360.0,1860.0,208.0,2.0,0.0,90.0,500.0,0.4738,0.13634,0.62642,0.57764,0.42236,0.37358,0.04556,0.58087,439.0,36.32,53.02,57.95,256.17,43.81,3.02,True
11,exploit,164.0,20.0,235.0,1360.0,1860.0,208.0,2.0,0.0,90.0,600.0,0.49642,0.13012,0.60859,0.57764,0.42236,0.39141,0.04773,0.56086,419.0,36.24,52.97,57.68,250.89,38.53,2.97,True
12,exploit,164.0,20.0,215.0,1360.0,1860.0,208.0,2.0,0.0,90.0,700.0,0.5213,0.12391,0.58897,0.57764,0.42236,0.41103,0.05013,0.53885,399.0,35.58,52.25,57.6,245.61,33.25,2.25,True
13,exploit,164.0,20.0,195.0,1360.0,1860.0,208.0,2.0,0.0,90.0,768.0,0.54881,0.1177,0.56728,0.57764,0.42236,0.43272,0.05277,0.51451,379.0,34.63,50.3,55.43,240.33,27.97,0.3,True
14,exploit,164.0,20.0,195.0,1360.0,1860.0,198.0,2.0,0.0,90.0,768.0,0.52243,0.1177,0.56728,0.57764,0.42236,0.43272,0.05277,0.51451,379.0,35.41,52.09,57.49,240.33,27.97,2.09,True
15,exploit,164.0,20.0,215.0,1360.0,1860.0,188.0,2.0,0.0,100.0,768.0,0.47118,0.12391,0.58897,0.57764,0.42236,0.41103,0.05013,0.53885,399.0,37.31,53.49,58.24,245.61,33.25,3.49,True
16,exploit,164.0,20.0,235.0,1360.0,1860.0,208.0,2.0,0.0,90.0,768.0,0.49642,0.13012,0.60859,0.57764,0.42236,0.39141,0.04773,0.56086,419.0,36.24,52.97,57.68,250.89,38.53,2.97,True
17,exploit,164.0,20.0,215.0,1360.0,1860.0,208.0,2.0,0.0,90.0,768.0,0.5213,0.12391,0.58897,0.57764,0.42236,0.41103,0.05013,0.53885,399.0,35.58,52.25,57.6,245.61,33.25,2.25,True
18,exploit,164.0,20.0,235.0,1360.0,1860.0,208.0,2.0,0.0,90.0,768.0,0.49642,0.13012,0.60859,0.57764,0.42236,0.39141,0.04773,0.56086,419.0,36.24,52.97,57.68,250.89,38.53,2.97,True
19,exploit,164.0,20.0,235.0,1360.0,1860.0,208.0,2.0,0.0,90.0,768.0,0.49642,0.13012,0.60859,0.57764,0.42236,0.39141,0.04773,0.56086,419.0,36.24,52.97,57.68,250.89,38.53,2.97,True
