iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,325.0,0.0,385.0,1350.0,1850.0,223.0,2.0,0.0,32.0,300.0,0.31408,0.22187,0.54225,0.57812,0.42188,0.45775,0.0,0.54225,710.0,38.4,55.78,60.65,452.6,195.6,0.78,True
2,exploit,295.0,0.0,415.0,1350.0,1850.0,213.0,2.0,0.0,60.0,300.0,0.3,0.22187,0.58451,0.57812,0.42188,0.41549,0.0,0.58451,710.0,42.54,59.99,65.6,429.08,172.08,4.99,True
3,exploit,275.0,0.0,435.0,1350.0,1850.0,203.0,2.0,0.0,60.0,300.0,0.28592,0.22187,0.61268,0.57812,0.42188,0.38732,0.0,0.61268,710.0,42.51,59.87,65.7,413.39,156.39,4.87,True
4,exploit,255.0,0.0,455.0,1350.0,1850.0,193.0,2.0,0.0,60.0,300.0,0.27183,0.22187,0.64085,0.57812,0.42188,0.35915,0.0,0.64085,710.0,43.38,59.3,64.72,397.72,140.72,4.3,True
5,exploit,235.0,0.0,475.0,1350.0,1850.0,183.0,2.0,0.0,60.0,300.0,0.25775,0.22187,0.66901,0.57812,0.42188,0.33099,0.0,0.66901,710.0,42.69,58.91,64.66,382.04,125.04,3.91,True
6,exploit,215.0,0.0,495.0,1350.0,1850.0,173.0,2.0,0.0,60.0,300.0,0.24366,0.22187,0.69718,0.57812,0.42188,0.30282,0.0,0.69718,710.0,42.41,59.08,64.63,366.36,109.36,4.08,True
7,exploit,215.0,0.0,485.0,1350.0,1850.0,183.0,2.0,0.0,60.0,300.0,0.26143,0.21875,0.69286,0.57812,0.42188,0.30714,0.0,0.69286,700.0,41.61,58.5,63.87,363.72,106.72,3.5,True
8,exploit,195.0,0.0,505.0,1350.0,1850.0,173.0,2.0,0.0,60.0,300.0,0.24714,0.21875,0.72143,0.57812,0.42188,0.27857,0.0,0.72143,700.0,41.57,58.09,63.38,348.04,91.04,3.09,True
9,exploit,200.0,0.0,460.0,1350.0,1850.0,153.0,2.0,0.0,100.0,300.0,0.23182,0.20625,0.69697,0.57812,0.42188,0.30303,0.0,0.69697,660.0,43.73,60.91,65.47,341.4,84.4,5.91,True
10,exploit,180.0,0.0,440.0,1350.0,1850.0,153.0,2.0,0.0,100.0,300.0,0.24677,0.19375,0.70968,0.57812,0.42188,0.29032,0.0,0.70968,620.0,42.29,59.29,62.24,315.16,58.16,4.29,True
