iteration,mode,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,w/b,b/a,SCM%,CAGG%,FAGG%,PC%,FA%,SC%,total_binder,pred_7day,pred_28day,pred_56day,gwp,gwp_gap,str_margin,feasible
1,exploit,350.0,180.0,240.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.54545,0.57351,0.42649,0.45455,0.23377,0.31169,770.0,42.44,60.9,68.61,499.2,196.1,0.9,True
2,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
3,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
4,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
5,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
6,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
7,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
8,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
9,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
10,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
11,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
12,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
13,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
14,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
15,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
16,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
17,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
18,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
19,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
20,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
21,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
22,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
23,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
24,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
25,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
26,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
27,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
28,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
29,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
30,exploit,290.0,180.0,300.0,1320.0,1775.0,184.0,14.0,36.0,55.0,768.0,0.23896,0.24879,0.62338,0.57351,0.42649,0.37662,0.23377,0.38961,770.0,41.4,60.5,68.49,452.16,149.06,0.5,True
